channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cwz_joint,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,32237,0.4440358126721763,0,0.3133684483333333,0.0
red1,1,0.0,lite,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,32476,0.44732782369146007,0,0.09473300833333335,0.0
red1,1,0.0,ofdm_fec,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,31617,0.43549586776859506,0,0.06865022833333335,0.0
red1,1,0.0,pfft,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,32824,0.45212121212121215,0,0.05915261499999999,0.0
red1,1,0.0,profiled_cz,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,32540,0.4482093663911846,0,0.4706826833333334,0.0
red1,1,2.0,cwz_joint,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,31339,0.43166666666666664,0,0.31954944999999996,0.0
red1,1,2.0,lite,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,31393,0.4324104683195592,0,0.10080834666666667,0.0
red1,1,2.0,ofdm_fec,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,29933,0.41230027548209364,0,0.05906429166666667,0.0
red1,1,2.0,pfft,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,31877,0.4390771349862259,0,0.06703321999999999,0.0
red1,1,2.0,profiled_cz,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,31461,0.4333471074380165,0,0.46412054666666674,0.0
red1,1,4.0,cwz_joint,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,29234,0.40267217630853996,0,0.31085720000000006,0.0
red1,1,4.0,lite,4,60,configuration,1024,16,0.25,10,3,10,4,1210,0,0.0,72600,29834,0.4109366391184573,0,0.09853934166666667,0.0
