channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,15653,0.34830885625278146,0,0.4289831083333333,0.0
red1,1,0.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,15902,0.3538495772140632,0,0.147888995,0.0
red1,1,0.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,16719,0.37202937249666224,0,0.09581075,0.0
red1,1,0.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,16262,0.3618602581219404,0,0.09917859999999998,0.0
red1,1,0.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,15652,0.3482866043613707,0,0.8853147050000001,0.0
red1,1,2.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,12390,0.2757009345794392,0,0.39829214666666657,0.0
red1,1,2.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,12569,0.27968402314196705,0,0.143207985,0.0
red1,1,2.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,14447,0.32147307521139296,0,0.08133325500000001,0.0
red1,1,2.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,13340,0.2968402314196707,0,0.08427481500000002,0.0
red1,1,2.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,12403,0.2759902091677793,0,0.7850972933333332,0.0
red1,1,4.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,8440,0.1878059635068981,0,0.37227904000000006,0.0
red1,1,4.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,8562,0.19052069425901202,0,0.1261122066666667,0.0
red1,1,4.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,11535,0.256675567423231,0,0.08443653166666666,0.0
red1,1,4.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,10034,0.22327547841566533,0,0.07853602,0.0
red1,1,4.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,8443,0.1878727191811304,0,0.7735892383333334,0.0
red1,1,6.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,4314,0.09599465954606141,0,0.41435365833333326,0.0
red1,1,6.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,4385,0.09757454383622607,0,0.14411236,0.0
red1,1,6.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,7762,0.17271918113039608,0,0.09074160666666665,0.0
red1,1,6.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,6528,0.145260347129506,0,0.08797901500000001,0.0
red1,1,6.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,4314,0.09599465954606141,0,0.8319163516666667,0.0
red1,1,8.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,1600,0.035603026257231864,0,0.3984313183333334,0.0
red1,1,8.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,1611,0.03584779706275033,0,0.125138215,0.0
red1,1,8.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,4679,0.10411659991099244,0,0.08299082666666666,0.0
red1,1,8.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,3603,0.08017356475300401,0,0.0913867883333333,0.0
red1,1,8.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,1600,0.035603026257231864,0,0.74250718,0.0
red1,1,10.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,1,0.016666666666666666,44940,572,0.012728081886960391,0,0.3315049283333334,12.891566265060241
red1,1,10.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,1,0.016666666666666666,44940,581,0.012928348909657321,0,0.09985784333333333,12.891566265060241
red1,1,10.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,2334,0.05193591455273698,0,0.08437084,0.0
red1,1,10.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,1678,0.03733867378727192,0,0.08074903,0.0
red1,1,10.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,1,0.016666666666666666,44940,571,0.012705829995549622,0,0.6753822816666665,12.891566265060241
red1,1,12.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,10,0.16666666666666666,44940,210,0.004672897196261682,0,0.35016270166666674,128.9156626506024
red1,1,12.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,10,0.16666666666666666,44940,209,0.004650645304850912,0,0.11448149000000003,128.9156626506024
red1,1,12.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,0,0.0,44940,1145,0.025478415665331555,0,0.09405995333333332,0.0
red1,1,12.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,1,0.016666666666666666,44940,778,0.017311971517578996,0,0.07548443666666667,12.891566265060241
red1,1,12.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,10,0.16666666666666666,44940,210,0.004672897196261682,0,0.6262293416666666,128.9156626506024
red1,1,14.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,30,0.5,44940,73,0.001624388072986204,0,0.35983397833333325,386.7469879518072
red1,1,14.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,31,0.5166666666666667,44940,71,0.001579884290164664,0,0.1223037333333333,399.6385542168675
red1,1,14.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,2,0.03333333333333333,44940,542,0.012060525144637294,0,0.0957672,25.783132530120483
red1,1,14.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,7,0.11666666666666667,44940,360,0.00801068090787717,0,0.07885433500000001,90.24096385542168
red1,1,14.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,30,0.5,44940,73,0.001624388072986204,0,0.7243321883333332,386.7469879518072
red1,1,16.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,41,0.6833333333333333,44940,34,0.0007565643079661771,0,0.34914742333333326,528.5542168674699
red1,1,16.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,39,0.65,44940,36,0.0008010680907877169,0,0.130116165,502.7710843373494
red1,1,16.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,8,0.13333333333333333,44940,274,0.006097018246550957,0,0.09652152833333334,103.13253012048193
red1,1,16.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,12,0.2,44940,225,0.005006675567423231,0,0.08241624500000001,154.6987951807229
red1,1,16.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,41,0.6833333333333333,44940,34,0.0007565643079661771,0,0.6850737866666667,528.5542168674699
red1,1,18.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,47,0.7833333333333333,44940,15,0.0003337783711615487,0,0.3387784,605.9036144578313
red1,1,18.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,47,0.7833333333333333,44940,15,0.0003337783711615487,0,0.11983203166666669,605.9036144578313
red1,1,18.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,22,0.36666666666666664,44940,149,0.0033155318202047175,0,0.08221604166666668,283.6144578313253
red1,1,18.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,23,0.38333333333333336,44940,133,0.002959501557632399,0,0.08333512666666666,296.50602409638554
red1,1,18.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,47,0.7833333333333333,44940,15,0.0003337783711615487,0,0.6986629166666667,605.9036144578313
red1,1,20.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,55,0.9166666666666666,44940,5,0.00011125945705384957,0,0.36432376833333335,709.0361445783133
red1,1,20.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,55,0.9166666666666666,44940,5,0.00011125945705384957,0,0.11460036333333336,709.0361445783133
red1,1,20.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,31,0.5166666666666667,44940,91,0.0020249221183800624,0,0.07226236000000001,399.6385542168675
red1,1,20.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,32,0.5333333333333333,44940,77,0.0017133956386292835,0,0.0876884866666667,412.5301204819277
red1,1,20.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,55,0.9166666666666666,44940,5,0.00011125945705384957,0,0.652082115,709.0361445783133
red1,1,22.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,58,0.9666666666666667,44940,2,4.4503782821539834e-5,0,0.33712295333333336,747.710843373494
red1,1,22.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,57,0.95,44940,3,6.675567423230975e-5,0,0.1371413966666667,734.8192771084338
red1,1,22.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,34,0.5666666666666667,44940,60,0.0013351134846461949,0,0.09988786666666667,438.31325301204816
red1,1,22.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,37,0.6166666666666667,44940,50,0.0011125945705384957,0,0.07766312333333333,476.9879518072289
red1,1,22.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,58,0.9666666666666667,44940,2,4.4503782821539834e-5,0,0.7597004566666669,747.710843373494
red1,1,24.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,749,58,0.9666666666666667,44940,2,4.4503782821539834e-5,0,0.3255255883333333,747.710843373494
red1,1,24.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,749,58,0.9666666666666667,44940,2,4.4503782821539834e-5,0,0.11040773333333333,747.710843373494
red1,1,24.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,749,37,0.6166666666666667,44940,43,0.0009568313306631064,0,0.08561414166666666,476.9879518072289
red1,1,24.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,749,44,0.7333333333333333,44940,33,0.0007343124165554072,0,0.08545130833333332,567.2289156626506
red1,1,24.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,749,58,0.9666666666666667,44940,2,4.4503782821539834e-5,0,0.5891631416666666,747.710843373494
