workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,frame_samples,payload_bits,payload_seed,noise_seed,replay_seed,optimizer_seed,bit_errors,success,decode_failure,partial_fft_parts,partial_fft_bands
red1:lane2:snr0.0:seed4:frame1,0.0,1,cwz_joint,awgn,0.0,16.0,1,0.0,1.0355208333333332,0.9933333333333333,9536,1616,4,4,4,4,593,false,false,4,16
red1:lane2:snr0.0:seed4:frame2,0.0,2,cwz_joint,awgn,0.0,16.0,96,0.9895833333333334,2.0251041666666665,0.9933333333333333,9536,1616,5,5,5,4,689,false,false,4,16
red1:lane2:snr0.0:seed4:frame3,0.0,3,cwz_joint,awgn,0.0,16.0,190,1.96875,3.004270833333333,0.9933333333333333,9536,1616,6,6,6,4,667,false,false,4,16
red1:lane2:snr0.0:seed4:frame4,0.0,4,cwz_joint,awgn,0.0,16.0,285,2.9583333333333335,3.993854166666667,0.9933333333333333,9536,1616,7,7,7,4,642,false,false,4,16
red1:lane2:snr0.0:seed4:frame5,0.0,5,cwz_joint,awgn,0.0,16.0,385,4.0,5.035520833333333,0.9933333333333333,9536,1616,8,8,8,4,622,false,false,4,16
red1:lane2:snr0.0:seed4:frame6,0.0,6,cwz_joint,awgn,0.0,16.0,480,4.989583333333333,6.025104166666666,0.9933333333333333,9536,1616,9,9,9,4,650,false,false,4,16
red1:lane2:snr0.0:seed4:frame7,0.0,7,cwz_joint,awgn,0.0,16.0,574,5.96875,7.004270833333333,0.9933333333333333,9536,1616,10,10,10,4,630,false,false,4,16
red1:lane2:snr0.0:seed4:frame8,0.0,8,cwz_joint,awgn,0.0,16.0,669,6.958333333333333,7.993854166666666,0.9933333333333333,9536,1616,11,11,11,4,621,false,false,4,16
red1:lane2:snr0.0:seed4:frame9,0.0,9,cwz_joint,awgn,0.0,16.0,769,8.0,9.035520833333333,0.9933333333333333,9536,1616,12,12,12,4,646,false,false,4,16
red1:lane2:snr0.0:seed4:frame10,0.0,10,cwz_joint,awgn,0.0,16.0,864,8.989583333333334,10.025104166666667,0.9933333333333333,9536,1616,13,13,13,4,657,false,false,4,16
red1:lane2:snr0.0:seed4:frame11,0.0,11,cwz_joint,awgn,0.0,16.0,958,9.96875,11.004270833333333,0.9933333333333333,9536,1616,14,14,14,4,726,false,false,4,16
red1:lane2:snr0.0:seed4:frame12,0.0,12,cwz_joint,awgn,0.0,16.0,1053,10.958333333333334,11.993854166666667,0.9933333333333333,9536,1616,15,15,15,4,653,false,false,4,16
red1:lane2:snr0.0:seed4:frame13,0.0,13,cwz_joint,awgn,0.0,16.0,1153,12.0,13.035520833333333,0.9933333333333333,9536,1616,16,16,16,4,663,false,false,4,16
red1:lane2:snr0.0:seed4:frame14,0.0,14,cwz_joint,awgn,0.0,16.0,1248,12.989583333333334,14.025104166666667,0.9933333333333333,9536,1616,17,17,17,4,693,false,false,4,16
red1:lane2:snr0.0:seed4:frame15,0.0,15,cwz_joint,awgn,0.0,16.0,1342,13.96875,15.004270833333333,0.9933333333333333,9536,1616,18,18,18,4,627,false,false,4,16
red1:lane2:snr0.0:seed4:frame16,0.0,16,cwz_joint,awgn,0.0,16.0,1437,14.958333333333334,15.993854166666667,0.9933333333333333,9536,1616,19,19,19,4,607,false,false,4,16
red1:lane2:snr0.0:seed4:frame1,0.0,1,lite,awgn,0.0,16.0,1,0.0,1.0355208333333332,0.9933333333333333,9536,1616,4,4,4,4,646,false,false,4,16
red1:lane2:snr0.0:seed4:frame2,0.0,2,lite,awgn,0.0,16.0,96,0.9895833333333334,2.0251041666666665,0.9933333333333333,9536,1616,5,5,5,4,664,false,false,4,16
red1:lane2:snr0.0:seed4:frame3,0.0,3,lite,awgn,0.0,16.0,190,1.96875,3.004270833333333,0.9933333333333333,9536,1616,6,6,6,4,690,false,false,4,16
red1:lane2:snr0.0:seed4:frame4,0.0,4,lite,awgn,0.0,16.0,285,2.9583333333333335,3.993854166666667,0.9933333333333333,9536,1616,7,7,7,4,701,false,false,4,16
red1:lane2:snr0.0:seed4:frame5,0.0,5,lite,awgn,0.0,16.0,385,4.0,5.035520833333333,0.9933333333333333,9536,1616,8,8,8,4,681,false,false,4,16
red1:lane2:snr0.0:seed4:frame6,0.0,6,lite,awgn,0.0,16.0,480,4.989583333333333,6.025104166666666,0.9933333333333333,9536,1616,9,9,9,4,644,false,false,4,16
red1:lane2:snr0.0:seed4:frame7,0.0,7,lite,awgn,0.0,16.0,574,5.96875,7.004270833333333,0.9933333333333333,9536,1616,10,10,10,4,628,false,false,4,16
red1:lane2:snr0.0:seed4:frame8,0.0,8,lite,awgn,0.0,16.0,669,6.958333333333333,7.993854166666666,0.9933333333333333,9536,1616,11,11,11,4,703,false,false,4,16
red1:lane2:snr0.0:seed4:frame9,0.0,9,lite,awgn,0.0,16.0,769,8.0,9.035520833333333,0.9933333333333333,9536,1616,12,12,12,4,630,false,false,4,16
red1:lane2:snr0.0:seed4:frame10,0.0,10,lite,awgn,0.0,16.0,864,8.989583333333334,10.025104166666667,0.9933333333333333,9536,1616,13,13,13,4,679,false,false,4,16
red1:lane2:snr0.0:seed4:frame11,0.0,11,lite,awgn,0.0,16.0,958,9.96875,11.004270833333333,0.9933333333333333,9536,1616,14,14,14,4,661,false,false,4,16
red1:lane2:snr0.0:seed4:frame12,0.0,12,lite,awgn,0.0,16.0,1053,10.958333333333334,11.993854166666667,0.9933333333333333,9536,1616,15,15,15,4,648,false,false,4,16
red1:lane2:snr0.0:seed4:frame13,0.0,13,lite,awgn,0.0,16.0,1153,12.0,13.035520833333333,0.9933333333333333,9536,1616,16,16,16,4,630,false,false,4,16
red1:lane2:snr0.0:seed4:frame14,0.0,14,lite,awgn,0.0,16.0,1248,12.989583333333334,14.025104166666667,0.9933333333333333,9536,1616,17,17,17,4,646,false,false,4,16
red1:lane2:snr0.0:seed4:frame15,0.0,15,lite,awgn,0.0,16.0,1342,13.96875,15.004270833333333,0.9933333333333333,9536,1616,18,18,18,4,697,false,false,4,16
red1:lane2:snr0.0:seed4:frame16,0.0,16,lite,awgn,0.0,16.0,1437,14.958333333333334,15.993854166666667,0.9933333333333333,9536,1616,19,19,19,4,684,false,false,4,16
red1:lane2:snr0.0:seed4:frame1,0.0,1,ofdm_fec,awgn,0.0,16.0,1,0.0,1.0355208333333332,0.9933333333333333,9536,1616,4,4,4,4,593,false,false,4,16
red1:lane2:snr0.0:seed4:frame2,0.0,2,ofdm_fec,awgn,0.0,16.0,96,0.9895833333333334,2.0251041666666665,0.9933333333333333,9536,1616,5,5,5,4,689,false,false,4,16
red1:lane2:snr0.0:seed4:frame3,0.0,3,ofdm_fec,awgn,0.0,16.0,190,1.96875,3.004270833333333,0.9933333333333333,9536,1616,6,6,6,4,667,false,false,4,16
red1:lane2:snr0.0:seed4:frame4,0.0,4,ofdm_fec,awgn,0.0,16.0,285,2.9583333333333335,3.993854166666667,0.9933333333333333,9536,1616,7,7,7,4,642,false,false,4,16
red1:lane2:snr0.0:seed4:frame5,0.0,5,ofdm_fec,awgn,0.0,16.0,385,4.0,5.035520833333333,0.9933333333333333,9536,1616,8,8,8,4,622,false,false,4,16
red1:lane2:snr0.0:seed4:frame6,0.0,6,ofdm_fec,awgn,0.0,16.0,480,4.989583333333333,6.025104166666666,0.9933333333333333,9536,1616,9,9,9,4,650,false,false,4,16
red1:lane2:snr0.0:seed4:frame7,0.0,7,ofdm_fec,awgn,0.0,16.0,574,5.96875,7.004270833333333,0.9933333333333333,9536,1616,10,10,10,4,630,false,false,4,16
red1:lane2:snr0.0:seed4:frame8,0.0,8,ofdm_fec,awgn,0.0,16.0,669,6.958333333333333,7.993854166666666,0.9933333333333333,9536,1616,11,11,11,4,621,false,false,4,16
red1:lane2:snr0.0:seed4:frame9,0.0,9,ofdm_fec,awgn,0.0,16.0,769,8.0,9.035520833333333,0.9933333333333333,9536,1616,12,12,12,4,646,false,false,4,16
