channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,16592,0.36920338228749444,0,0.26414617333333335,0.0
red1,1,0.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,16849,0.3749221183800623,0,0.09482681666666669,0.0
red1,1,0.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,16719,0.37202937249666224,0,0.06832496999999998,0.0
red1,1,0.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,16930,0.37672452158433467,0,0.061353754999999996,0.0
red1,1,0.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,16585,0.36904761904761907,0,0.32377532166666667,0.0
red1,1,2.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14330,0.3188696039163329,0,0.266686025,0.0
red1,1,2.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14614,0.32518914107699154,0,0.10181286166666667,0.0
red1,1,2.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14447,0.32147307521139296,0,0.06815817833333333,0.0
red1,1,2.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14627,0.32547841566533153,0,0.07019857666666665,0.0
red1,1,2.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14325,0.31875834445927903,0,0.31626537833333335,0.0
red1,1,4.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11110,0.24721851357365376,0,0.2521967233333334,0.0
red1,1,4.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11410,0.2538940809968847,0,0.10922336333333334,0.0
red1,1,4.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11535,0.256675567423231,0,0.08151765166666665,0.0
red1,1,4.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11439,0.25453938584779706,0,0.06679213,0.0
red1,1,4.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11113,0.24728526924788607,0,0.31833833333333333,0.0
red1,1,6.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7560,0.16822429906542055,0,0.270831075,0.0
red1,1,6.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7799,0.17354250111259456,0,0.09699091,0.0
red1,1,6.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7762,0.17271918113039608,0,0.073545,0.0
red1,1,6.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7862,0.17494437027147308,0,0.07130194666666667,0.0
red1,1,6.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7569,0.16842456608811748,0,0.31234875,0.0
red1,1,8.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,4533,0.10086782376502003,0,0.25498729333333336,0.0
red1,1,8.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,4614,0.10267022696929239,0,0.09531880666666666,0.0
red1,1,8.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,4679,0.10411659991099244,0,0.07280059500000001,0.0
red1,1,8.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,4594,0.10222518914107699,0,0.07285765833333334,0.0
red1,1,8.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,4538,0.10097908322207387,0,0.3301071083333333,0.0
red1,1,10.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,2377,0.05289274588340009,0,0.24863792333333334,0.0
red1,1,10.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,2368,0.05269247886070316,0,0.10060766333333332,0.0
red1,1,10.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,2334,0.05193591455273698,0,0.07418416666666668,0.0
red1,1,10.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,2363,0.05258121940364931,0,0.07345498499999997,0.0
red1,1,10.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,2379,0.05293724966622163,0,0.2911388866666666,0.0
red1,1,12.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,1172,0.026079216733422343,0,0.2384646183333333,0.0
red1,1,12.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,1187,0.02641299510458389,0,0.09171290666666668,0.0
red1,1,12.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,1145,0.025478415665331555,0,0.073875285,0.0
red1,1,12.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,1188,0.02643524699599466,0,0.06233568666666666,0.0
red1,1,12.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,1173,0.02610146862483311,0,0.27434722999999994,0.0
red1,1,14.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,2,0.03333333333333333,44940,552,0.012283044058744993,0,0.21578798833333332,25.783132530120483
red1,1,14.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,2,0.03333333333333333,44940,568,0.012639074321317311,0,0.10306625333333334,25.783132530120483
red1,1,14.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,2,0.03333333333333333,44940,542,0.012060525144637294,0,0.07558180833333333,25.783132530120483
red1,1,14.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,2,0.03333333333333333,44940,561,0.012483311081441923,0,0.07815589166666669,25.783132530120483
red1,1,14.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,2,0.03333333333333333,44940,552,0.012283044058744993,0,0.263517965,25.783132530120483
red1,1,16.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,9,0.15,44940,307,0.006831330663106364,0,0.2292243849999999,116.02409638554217
red1,1,16.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,9,0.15,44940,303,0.0067423230974632846,0,0.0951424,116.02409638554217
red1,1,16.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,8,0.13333333333333333,44940,274,0.006097018246550957,0,0.07202101499999998,103.13253012048193
red1,1,16.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,8,0.13333333333333333,44940,303,0.0067423230974632846,0,0.06736061666666666,103.13253012048193
red1,1,16.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,9,0.15,44940,308,0.006853582554517134,0,0.2778215683333333,116.02409638554217
red1,1,18.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,20,0.3333333333333333,44940,149,0.0033155318202047175,0,0.225912545,257.8313253012048
red1,1,18.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,21,0.35,44940,150,0.0033377837116154874,0,0.09611328166666669,270.72289156626505
red1,1,18.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,22,0.36666666666666664,44940,149,0.0033155318202047175,0,0.07126342666666667,283.6144578313253
red1,1,18.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,20,0.3333333333333333,44940,151,0.0033600356030262573,0,0.06818412,257.8313253012048
red1,1,18.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,20,0.3333333333333333,44940,149,0.0033155318202047175,0,0.27047860333333335,257.8313253012048
red1,1,20.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,30,0.5,44940,97,0.002158433466844682,0,0.23977872333333336,386.7469879518072
red1,1,20.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,29,0.48333333333333334,44940,96,0.002136181575433912,0,0.09230191499999998,373.855421686747
red1,1,20.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,31,0.5166666666666667,44940,91,0.0020249221183800624,0,0.07277683166666665,399.6385542168675
red1,1,20.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,28,0.4666666666666667,44940,97,0.002158433466844682,0,0.07292742833333334,360.96385542168673
red1,1,20.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,30,0.5,44940,97,0.002158433466844682,0,0.24195688500000004,386.7469879518072
red1,1,22.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,34,0.5666666666666667,44940,55,0.0012238540275923454,0,0.21931389166666657,438.31325301204816
red1,1,22.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,34,0.5666666666666667,44940,57,0.0012683578104138852,0,0.08678574333333332,438.31325301204816
red1,1,22.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,34,0.5666666666666667,44940,60,0.0013351134846461949,0,0.06977321333333333,438.31325301204816
red1,1,22.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,34,0.5666666666666667,44940,58,0.001290609701824655,0,0.07994344333333334,438.31325301204816
red1,1,22.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,34,0.5666666666666667,44940,55,0.0012238540275923454,0,0.24798509333333335,438.31325301204816
red1,1,24.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,36,0.6,44940,47,0.001045838896306186,0,0.22648779000000002,464.09638554216866
red1,1,24.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,37,0.6166666666666667,44940,44,0.0009790832220738764,0,0.09248758833333333,476.9879518072289
red1,1,24.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,37,0.6166666666666667,44940,43,0.0009568313306631064,0,0.07157602833333333,476.9879518072289
red1,1,24.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,37,0.6166666666666667,44940,44,0.0009790832220738764,0,0.07371274,476.9879518072289
red1,1,24.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,36,0.6,44940,47,0.001045838896306186,0,0.27740320999999996,464.09638554216866
red1,1,26.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,38,0.0008455718736092568,0,0.23614311000000002,528.5542168674699
red1,1,26.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,40,0.6666666666666666,44940,38,0.0008455718736092568,0,0.09026965166666669,515.6626506024096
red1,1,26.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,42,0.7,44940,35,0.000778816199376947,0,0.07163538333333333,541.4457831325301
red1,1,26.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,40,0.6666666666666666,44940,38,0.0008455718736092568,0,0.07237396333333336,515.6626506024096
red1,1,26.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,38,0.0008455718736092568,0,0.2626412716666666,528.5542168674699
red1,1,28.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,34,0.0007565643079661771,0,0.20774005666666664,528.5542168674699
red1,1,28.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,35,0.000778816199376947,0,0.09688797333333331,528.5542168674699
red1,1,28.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,44,0.7333333333333333,44940,32,0.0007120605251446373,0,0.07723159333333336,567.2289156626506
red1,1,28.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,35,0.000778816199376947,0,0.06838320833333332,528.5542168674699
red1,1,28.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,34,0.0007565643079661771,0,0.26252281499999996,528.5542168674699
red1,1,30.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,32,0.0007120605251446373,0,0.2140928183333333,528.5542168674699
red1,1,30.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,33,0.0007343124165554072,0,0.0850901,528.5542168674699
red1,1,30.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,44,0.7333333333333333,44940,29,0.0006453048509123276,0,0.07209463166666667,567.2289156626506
red1,1,30.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,33,0.0007343124165554072,0,0.06776738833333334,528.5542168674699
red1,1,30.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,41,0.6833333333333333,44940,32,0.0007120605251446373,0,0.24684012833333335,528.5542168674699
