channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red1,1,0.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25831,0.44255413925438597,0,0.42516889374999994,0.0,0.0,47.0,4513,902600
red1,1,0.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25831,0.44255413925438597,0,0.1190868,0.0,0.0,47.0,4513,902600
red1,1,0.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23698,0.40601014254385964,0,0.06567588437500001,0.0,0.0,47.0,4513,902600
red1,1,0.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25864,0.44311951754385964,0,0.06277835625,0.0,0.0,47.0,4513,902600
red1,1,0.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25831,0.44255413925438597,0,0.52816320625,0.0,0.0,47.0,4513,902600
red1,1,2.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24412,0.41824287280701755,0,0.450219784375,0.0,0.0,47.0,4513,902600
red1,1,2.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24412,0.41824287280701755,0,0.10622605,0.0,0.0,47.0,4513,902600
red1,1,2.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22090,0.3784608004385965,0,0.06367296562500001,0.0,0.0,47.0,4513,902600
red1,1,2.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24702,0.4232113486842105,0,0.064554365625,0.0,0.0,47.0,4513,902600
red1,1,2.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24412,0.41824287280701755,0,0.623909446875,0.0,0.0,47.0,4513,902600
red1,1,4.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23483,0.40232661732456143,0,0.43724404687499996,0.0,0.0,47.0,4513,902600
red1,1,4.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23483,0.40232661732456143,0,0.103487859375,0.0,0.0,47.0,4513,902600
red1,1,4.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,20486,0.3509799890350877,0,0.06721031250000001,0.0,0.0,47.0,4513,902600
red1,1,4.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23771,0.4072608278508772,0,0.06529616562500001,0.0,0.0,47.0,4513,902600
red1,1,4.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23483,0.40232661732456143,0,0.5357623406249999,0.0,0.0,47.0,4513,902600
red1,1,6.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22106,0.37873492324561403,0,0.44069895625,0.0,0.0,47.0,4513,902600
red1,1,6.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22106,0.37873492324561403,0,0.11158708750000004,0.0,0.0,47.0,4513,902600
red1,1,6.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,18584,0.3183936403508772,0,0.07113877187499999,0.0,0.0,47.0,4513,902600
red1,1,6.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22702,0.38894599780701755,0,0.07238851875,0.0,0.0,47.0,4513,902600
red1,1,6.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22106,0.37873492324561403,0,0.6440873343749999,0.0,0.0,47.0,4513,902600
red1,1,8.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21236,0.3638294956140351,0,0.447388671875,0.0,0.0,47.0,4513,902600
red1,1,8.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21236,0.3638294956140351,0,0.10695264062500001,0.0,0.0,47.0,4513,902600
red1,1,8.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,14849,0.2544030975877193,0,0.06342649687499999,0.0,0.0,47.0,4513,902600
red1,1,8.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21816,0.3737664473684211,0,0.06470005937500001,0.0,0.0,47.0,4513,902600
red1,1,8.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21236,0.3638294956140351,0,0.5605429437499999,0.0,0.0,47.0,4513,902600
red1,1,10.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,19239,0.3296155427631579,0,0.4354348625,0.0,0.0,47.0,4513,902600
red1,1,10.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,19239,0.3296155427631579,0,0.10542726562499997,0.0,0.0,47.0,4513,902600
red1,1,10.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,10934,0.18732867324561403,0,0.06453858124999999,0.0,0.0,47.0,4513,902600
red1,1,10.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21111,0.3616879111842105,0,0.06609648124999999,0.0,0.0,47.0,4513,902600
red1,1,10.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,19239,0.3296155427631579,0,0.510649671875,0.0,0.0,47.0,4513,902600
red1,1,12.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,2,0.0625,58368,15116,0.25897752192982454,0,0.3902046937499999,114.76510067114094,0.0,47.0,4513,902600
red1,1,12.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,2,0.0625,58368,15116,0.25897752192982454,0,0.11309419374999999,114.76510067114094,0.0,47.0,4513,902600
red1,1,12.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,5,0.15625,58368,6347,0.10874109100877193,0,0.06647963750000001,286.9127516778524,0.0,47.0,4513,902600
red1,1,12.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,20097,0.3443153782894737,0,0.06688567187500001,0.0,0.0,47.0,4513,902600
red1,1,12.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,2,0.0625,58368,15116,0.25897752192982454,0,0.5455849406250002,114.76510067114094,0.0,47.0,4513,902600
red1,1,14.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,6,0.1875,58368,13175,0.22572299890350878,0,0.37039368124999994,344.2953020134228,0.0,47.0,4513,902600
red1,1,14.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,6,0.1875,58368,13175,0.22572299890350878,0,0.11163923437500002,344.2953020134228,0.0,47.0,4513,902600
red1,1,14.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,8,0.25,58368,4268,0.07312225877192982,0,0.06703141562500002,459.06040268456377,0.0,47.0,4513,902600
red1,1,14.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,19603,0.33585183662280704,0,0.06989288125000002,0.0,0.0,47.0,4513,902600
red1,1,14.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,6,0.1875,58368,13175,0.22572299890350878,0,0.486721559375,344.2953020134228,0.0,47.0,4513,902600
red1,1,16.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,6,0.1875,58368,12153,0.20821340460526316,0,0.36337592187499995,344.2953020134228,0.0,47.0,4513,902600
red1,1,16.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,6,0.1875,58368,12153,0.20821340460526316,0,0.11674225312500003,344.2953020134228,0.0,47.0,4513,902600
red1,1,16.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,8,0.25,58368,3538,0.06061540570175439,0,0.06820385625,459.06040268456377,0.0,47.0,4513,902600
red1,1,16.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,18788,0.32188870614035087,0,0.06810253437500001,0.0,0.0,47.0,4513,902600
red1,1,16.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,6,0.1875,58368,12153,0.20821340460526316,0,0.512261084375,344.2953020134228,0.0,47.0,4513,902600
red1,1,18.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,8,0.25,58368,11137,0.19080660635964913,0,0.36411288437500006,459.06040268456377,0.0,47.0,4513,902600
red1,1,18.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,8,0.25,58368,11137,0.19080660635964913,0,0.11103600625,459.06040268456377,0.0,47.0,4513,902600
red1,1,18.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,12,0.375,58368,3173,0.054361979166666664,0,0.06424814062499999,688.5906040268457,0.0,47.0,4513,902600
red1,1,18.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,18084,0.3098273026315789,0,0.06491111875,0.0,0.0,47.0,4513,902600
red1,1,18.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,8,0.25,58368,11137,0.19080660635964913,0,0.46162659999999994,459.06040268456377,0.0,47.0,4513,902600
red1,1,20.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,9135,0.15650699013157895,0,0.3617811593750001,516.4429530201343,0.0,47.0,4513,902600
red1,1,20.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,9135,0.15650699013157895,0,0.12335906249999999,516.4429530201343,0.0,47.0,4513,902600
red1,1,20.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,13,0.40625,58368,2682,0.04594983552631579,0,0.067752878125,745.9731543624162,0.0,47.0,4513,902600
red1,1,20.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,17301,0.2964124177631579,0,0.07047409062499999,0.0,0.0,47.0,4513,902600
red1,1,20.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,9135,0.15650699013157895,0,0.49663310000000005,516.4429530201343,0.0,47.0,4513,902600
red1,1,22.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,9273,0.15887129934210525,0,0.35612451562499997,516.4429530201343,0.0,47.0,4513,902600
red1,1,22.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,9273,0.15887129934210525,0,0.12450650312500001,516.4429530201343,0.0,47.0,4513,902600
red1,1,22.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,14,0.4375,58368,2472,0.04235197368421053,0,0.072468384375,803.3557046979867,0.0,47.0,4513,902600
red1,1,22.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,16802,0.28786321271929827,0,0.072850675,0.0,0.0,47.0,4513,902600
red1,1,22.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,9273,0.15887129934210525,0,0.46950357812500004,516.4429530201343,0.0,47.0,4513,902600
red1,1,24.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,7940,0.13603344298245615,0,0.3074908156250001,516.4429530201343,0.0,47.0,4513,902600
red1,1,24.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,7940,0.13603344298245615,0,0.11651904687499998,516.4429530201343,0.0,47.0,4513,902600
red1,1,24.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,16,0.5,58368,2356,0.040364583333333336,0,0.067602296875,918.1208053691275,0.0,47.0,4513,902600
red1,1,24.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,16827,0.28829152960526316,0,0.06753689687500002,0.0,0.0,47.0,4513,902600
red1,1,24.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,9,0.28125,58368,7940,0.13603344298245615,0,0.4608771093749999,516.4429530201343,0.0,47.0,4513,902600
red1,1,26.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,10,0.3125,58368,8071,0.13827782346491227,0,0.31835956875000004,573.8255033557048,0.0,47.0,4513,902600
red1,1,26.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,10,0.3125,58368,8071,0.13827782346491227,0,0.11534805,573.8255033557048,0.0,47.0,4513,902600
red1,1,26.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,19,0.59375,58368,2291,0.03925095942982456,0,0.06817530937499999,1090.268456375839,0.0,47.0,4513,902600
red1,1,26.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,16620,0.2847450657894737,0,0.069024390625,0.0,0.0,47.0,4513,902600
red1,1,26.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,10,0.3125,58368,8071,0.13827782346491227,0,0.45491106875,573.8255033557048,0.0,47.0,4513,902600
red1,1,28.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,11,0.34375,58368,8453,0.14482250548245615,0,0.32938193437499996,631.2080536912752,0.0,47.0,4513,902600
red1,1,28.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,11,0.34375,58368,8453,0.14482250548245615,0,0.11305999999999998,631.2080536912752,0.0,47.0,4513,902600
red1,1,28.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,20,0.625,58368,2127,0.03644120065789474,0,0.0684317625,1147.6510067114095,0.0,47.0,4513,902600
red1,1,28.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,16345,0.28003358004385964,0,0.06663603437499999,0.0,0.0,47.0,4513,902600
red1,1,28.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,11,0.34375,58368,8453,0.14482250548245615,0,0.37748297499999994,631.2080536912752,0.0,47.0,4513,902600
red1,1,30.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,13,0.40625,58368,7528,0.1289747807017544,0,0.30094986874999996,745.9731543624162,0.0,47.0,4513,902600
red1,1,30.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,13,0.40625,58368,7528,0.1289747807017544,0,0.11071333750000001,745.9731543624162,0.0,47.0,4513,902600
red1,1,30.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,19,0.59375,58368,2183,0.03740063048245614,0,0.06414510312499999,1090.268456375839,0.0,47.0,4513,902600
red1,1,30.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,16233,0.27811472039473684,0,0.06466953125000001,0.0,0.0,47.0,4513,902600
red1,1,30.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,13,0.40625,58368,7528,0.1289747807017544,0,0.41950842500000013,745.9731543624162,0.0,47.0,4513,902600
red1,2,0.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25398,0.4351356907894737,0,0.438910153125,0.0,0.0,47.0,4513,902600
red1,2,0.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25398,0.4351356907894737,0,0.12865160625,0.0,0.0,47.0,4513,902600
red1,2,0.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23761,0.4070895010964912,0,0.07033256875,0.0,0.0,47.0,4513,902600
red1,2,0.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25464,0.4362664473684211,0,0.06553926250000001,0.0,0.0,47.0,4513,902600
red1,2,0.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,25398,0.4351356907894737,0,0.5641461781249999,0.0,0.0,47.0,4513,902600
red1,2,2.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24372,0.4175575657894737,0,0.4208417625,0.0,0.0,47.0,4513,902600
red1,2,2.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24372,0.4175575657894737,0,0.10912651874999998,0.0,0.0,47.0,4513,902600
red1,2,2.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22191,0.38019120065789475,0,0.06606306562500001,0.0,0.0,47.0,4513,902600
red1,2,2.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24561,0.4207956414473684,0,0.06669827812500001,0.0,0.0,47.0,4513,902600
red1,2,2.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,24372,0.4175575657894737,0,0.5836341499999999,0.0,0.0,47.0,4513,902600
red1,2,4.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23283,0.3989000822368421,0,0.39421105625000014,0.0,0.0,47.0,4513,902600
red1,2,4.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23283,0.3989000822368421,0,0.10748650624999997,0.0,0.0,47.0,4513,902600
red1,2,4.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,20571,0.3524362664473684,0,0.06626219374999999,0.0,0.0,47.0,4513,902600
red1,2,4.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23677,0.40565035635964913,0,0.06480202500000001,0.0,0.0,47.0,4513,902600
red1,2,4.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,23283,0.3989000822368421,0,0.5865682249999999,0.0,0.0,47.0,4513,902600
red1,2,6.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21756,0.37273848684210525,0,0.4484472531249999,0.0,0.0,47.0,4513,902600
red1,2,6.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21756,0.37273848684210525,0,0.11802955625,0.0,0.0,47.0,4513,902600
red1,2,6.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,18630,0.31918174342105265,0,0.06449624374999999,0.0,0.0,47.0,4513,902600
red1,2,6.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,22444,0.38452576754385964,0,0.0680869125,0.0,0.0,47.0,4513,902600
red1,2,6.0,profiled_cz,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21756,0.37273848684210525,0,0.6537731812500002,0.0,0.0,47.0,4513,902600
red1,2,8.0,cwz_joint,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,20669,0.35411526864035087,0,0.413572559375,0.0,0.0,47.0,4513,902600
red1,2,8.0,lite,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,20669,0.35411526864035087,0,0.11793582499999998,0.0,0.0,47.0,4513,902600
red1,2,8.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,15290,0.26195860745614036,0,0.06774554374999997,0.0,0.0,47.0,4513,902600
red1,2,8.0,pfft,4,32,configuration,awgn,1024,64,0.25,10,5,14,0,4,16,1824,0,0.0,58368,21495,0.3682668585526316,0,0.06754885000000001,0.0,0.0,47.0,4513,902600
