workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,frame_samples,payload_bits,payload_seed,noise_seed,replay_seed,optimizer_seed,bit_errors,success,decode_failure,partial_fft_parts,partial_fft_bands
red1:lane3:snr0.0:seed4:frame1,0.0,1,cwz_joint,awgn,0.0,32.0,1,0.0,1.0355208333333332,0.9933333333333333,9536,3248,4,4,4,4,1031,false,false,4,16
red1:lane3:snr0.0:seed4:frame2,0.0,2,cwz_joint,awgn,0.0,32.0,96,0.9895833333333334,2.0251041666666665,0.9933333333333333,9536,3248,5,5,5,4,1153,false,false,4,16
red1:lane3:snr0.0:seed4:frame3,0.0,3,cwz_joint,awgn,0.0,32.0,190,1.96875,3.004270833333333,0.9933333333333333,9536,3248,6,6,6,4,1186,false,false,4,16
red1:lane3:snr0.0:seed4:frame4,0.0,4,cwz_joint,awgn,0.0,32.0,285,2.9583333333333335,3.993854166666667,0.9933333333333333,9536,3248,7,7,7,4,1114,false,false,4,16
red1:lane3:snr0.0:seed4:frame5,0.0,5,cwz_joint,awgn,0.0,32.0,385,4.0,5.035520833333333,0.9933333333333333,9536,3248,8,8,8,4,1081,false,false,4,16
red1:lane3:snr0.0:seed4:frame6,0.0,6,cwz_joint,awgn,0.0,32.0,480,4.989583333333333,6.025104166666666,0.9933333333333333,9536,3248,9,9,9,4,1209,false,false,4,16
red1:lane3:snr0.0:seed4:frame7,0.0,7,cwz_joint,awgn,0.0,32.0,574,5.96875,7.004270833333333,0.9933333333333333,9536,3248,10,10,10,4,1243,false,false,4,16
red1:lane3:snr0.0:seed4:frame8,0.0,8,cwz_joint,awgn,0.0,32.0,669,6.958333333333333,7.993854166666666,0.9933333333333333,9536,3248,11,11,11,4,1138,false,false,4,16
red1:lane3:snr0.0:seed4:frame9,0.0,9,cwz_joint,awgn,0.0,32.0,769,8.0,9.035520833333333,0.9933333333333333,9536,3248,12,12,12,4,1028,false,false,4,16
red1:lane3:snr0.0:seed4:frame10,0.0,10,cwz_joint,awgn,0.0,32.0,864,8.989583333333334,10.025104166666667,0.9933333333333333,9536,3248,13,13,13,4,1162,false,false,4,16
red1:lane3:snr0.0:seed4:frame11,0.0,11,cwz_joint,awgn,0.0,32.0,958,9.96875,11.004270833333333,0.9933333333333333,9536,3248,14,14,14,4,1262,false,false,4,16
red1:lane3:snr0.0:seed4:frame12,0.0,12,cwz_joint,awgn,0.0,32.0,1053,10.958333333333334,11.993854166666667,0.9933333333333333,9536,3248,15,15,15,4,1189,false,false,4,16
red1:lane3:snr0.0:seed4:frame13,0.0,13,cwz_joint,awgn,0.0,32.0,1153,12.0,13.035520833333333,0.9933333333333333,9536,3248,16,16,16,4,1172,false,false,4,16
red1:lane3:snr0.0:seed4:frame14,0.0,14,cwz_joint,awgn,0.0,32.0,1248,12.989583333333334,14.025104166666667,0.9933333333333333,9536,3248,17,17,17,4,1167,false,false,4,16
red1:lane3:snr0.0:seed4:frame15,0.0,15,cwz_joint,awgn,0.0,32.0,1342,13.96875,15.004270833333333,0.9933333333333333,9536,3248,18,18,18,4,1128,false,false,4,16
red1:lane3:snr0.0:seed4:frame16,0.0,16,cwz_joint,awgn,0.0,32.0,1437,14.958333333333334,15.993854166666667,0.9933333333333333,9536,3248,19,19,19,4,1065,false,false,4,16
red1:lane3:snr0.0:seed4:frame17,0.0,17,cwz_joint,awgn,0.0,32.0,1537,16.0,17.035520833333333,0.9933333333333333,9536,3248,20,20,20,4,1139,false,false,4,16
red1:lane3:snr0.0:seed4:frame18,0.0,18,cwz_joint,awgn,0.0,32.0,1632,16.989583333333332,18.025104166666665,0.9933333333333333,9536,3248,21,21,21,4,1154,false,false,4,16
red1:lane3:snr0.0:seed4:frame19,0.0,19,cwz_joint,awgn,0.0,32.0,1726,17.96875,19.004270833333333,0.9933333333333333,9536,3248,22,22,22,4,1189,false,false,4,16
red1:lane3:snr0.0:seed4:frame20,0.0,20,cwz_joint,awgn,0.0,32.0,1821,18.958333333333332,19.993854166666665,0.9933333333333333,9536,3248,23,23,23,4,1137,false,false,4,16
